height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
4267,1067,168,42,3,60,14,14555,47.89,2246.15,selectivo,marco,frame-168in-42in-60in-g14
4267,1067,168,42,3,72,14,13271,53.79,2522.98,selectivo,marco,frame-168in-42in-72in-g14
4267,1067,168,42,3,84,14,11893,51.56,2418.27,selectivo,marco,frame-168in-42in-84in-g14
4267,1067,168,42,3,96,14,10483,50.37,2362.20,selectivo,marco,frame-168in-42in-96in-g14
4267,1067,168,42,3,108,14,9071,49,2298.30,selectivo,marco,frame-168in-42in-108in-g14
4877,1067,192,42,3,36,14,15639,61.51,2884.60,selectivo,marco,frame-192in-42in-36in-g14
4877,1067,192,42,3,42,14,15677,58.55,2745.84,selectivo,marco,frame-192in-42in-42in-g14
4877,1067,192,42,3,48,14,15661,57.54,2698.48,selectivo,marco,frame-192in-42in-48in-g14
4877,1067,192,42,3,54,14,15116,56.01,2626.86,selectivo,marco,frame-192in-42in-54in-g14
4877,1067,192,42,3,60,14,14537,54.74,2567.26,selectivo,marco,frame-192in-42in-60in-g14
4877,1067,192,42,3,72,14,13255,61.49,2883.66,selectivo,marco,frame-192in-42in-72in-g14
4877,1067,192,42,3,84,14,11879,58.93,2763.98,selectivo,marco,frame-192in-42in-84in-g14
4877,1067,192,42,3,96,14,10470,57.57,2699.90,selectivo,marco,frame-192in-42in-96in-g14
4877,1067,192,42,3,108,14,9058,56.01,2626.86,selectivo,marco,frame-192in-42in-108in-g14
5486,1067,216,42,3,36,14,15612,69.19,3244.81,selectivo,marco,frame-216in-42in-36in-g14
5486,1067,216,42,3,42,14,15654,65.86,3088.72,selectivo,marco,frame-216in-42in-42in-g14
5486,1067,216,42,3,48,14,15640,64.72,3035.45,selectivo,marco,frame-216in-42in-48in-g14
5486,1067,216,42,3,54,14,15096,63,2954.89,selectivo,marco,frame-216in-42in-54in-g14
5486,1067,216,42,3,60,14,14519,61.57,2887.84,selectivo,marco,frame-216in-42in-60in-g14
5486,1067,216,42,3,72,14,13239,69.16,3243.75,selectivo,marco,frame-216in-42in-72in-g14
5486,1067,216,42,3,84,14,11865,66.29,3109.12,selectivo,marco,frame-216in-42in-84in-g14
5486,1067,216,42,3,96,14,10458,64.76,3037.04,selectivo,marco,frame-216in-42in-96in-g14
5486,1067,216,42,3,108,14,9045,63,2954.89,selectivo,marco,frame-216in-42in-108in-g14
6096,1067,240,42,3,36,14,15584,76.88,3605.61,selectivo,marco,frame-240in-42in-36in-g14
6096,1067,240,42,3,42,14,15631,73.18,3432.16,selectivo,marco,frame-240in-42in-42in-g14
6096,1067,240,42,3,48,14,15618,71.92,3372.97,selectivo,marco,frame-240in-42in-48in-g14
6096,1067,240,42,3,54,14,15076,70.01,3283.45,selectivo,marco,frame-240in-42in-54in-g14
6096,1067,240,42,3,60,14,14501,68.42,3208.94,selectivo,marco,frame-240in-42in-60in-g14
6096,1067,240,42,3,72,14,13223,76.85,3604.43,selectivo,marco,frame-240in-42in-72in-g14
6096,1067,240,42,3,84,14,11850,73.66,3454.83,selectivo,marco,frame-240in-42in-84in-g14
6096,1067,240,42,3,96,14,10445,71.96,3374.73,selectivo,marco,frame-240in-42in-96in-g14
6096,1067,240,42,3,108,14,9031,70.01,3283.45,selectivo,marco,frame-240in-42in-108in-g14
6706,1067,264,42,3,36,14,15557,84.57,3966.40,selectivo,marco,frame-264in-42in-36in-g14
6706,1067,264,42,3,42,14,15608,80.5,3775.60,selectivo,marco,frame-264in-42in-42in-g14
6706,1067,264,42,3,48,14,15596,79.11,3710.49,selectivo,marco,frame-264in-42in-48in-g14
6706,1067,264,42,3,54,14,15056,77.02,3612.01,selectivo,marco,frame-264in-42in-54in-g14
6706,1067,264,42,3,60,14,14483,75.27,3530.05,selectivo,marco,frame-264in-42in-60in-g14
6706,1067,264,42,3,72,14,13208,84.54,3965.11,selectivo,marco,frame-264in-42in-72in-g14
6706,1067,264,42,3,84,14,11836,81.04,3800.54,selectivo,marco,frame-264in-42in-84in-g14
6706,1067,264,42,3,96,14,10432,79.16,3712.43,selectivo,marco,frame-264in-42in-96in-g14
6706,1067,264,42,3,108,14,9018,77.02,3612.01,selectivo,marco,frame-264in-42in-108in-g14
7315,1067,288,42,3,36,14,15529,92.25,4326.61,selectivo,marco,frame-288in-42in-36in-g14
7315,1067,288,42,3,42,14,15585,87.81,4118.48,selectivo,marco,frame-288in-42in-42in-g14
7315,1067,288,42,3,48,14,15575,86.3,4047.45,selectivo,marco,frame-288in-42in-48in-g14
7315,1067,288,42,3,54,14,15036,84.01,3940.03,selectivo,marco,frame-288in-42in-54in-g14
